City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
399,Chuy,UY,-33.6971,-53.4616,52.11,80,2,7.38,clear sky,2022-04-14 02:59:35
400,Nizamabad,IN,18.6667,78.1167,91.92,29,72,10.4,broken clouds,2022-04-14 02:59:36
401,Rincon,US,32.296,-81.2354,71.85,74,96,10.45,overcast clouds,2022-04-14 02:59:36
402,Nusaybin,TR,37.0778,41.2178,47.79,27,0,6.76,clear sky,2022-04-14 02:59:36
403,Mahibadhoo,MV,3.7833,72.9667,84.16,73,100,9.75,overcast clouds,2022-04-14 02:59:37
404,Nome,US,64.5011,-165.4064,35.17,79,93,7.07,overcast clouds,2022-04-14 02:59:37
405,Diamantina,BR,-18.2494,-43.6003,66.29,81,54,2.95,broken clouds,2022-04-14 02:59:38
406,Clifton Springs,AU,-38.15,144.5667,79.77,60,77,12.66,broken clouds,2022-04-14 02:59:38
407,Chaman,PK,30.9236,66.4512,70.39,12,0,8.01,clear sky,2022-04-14 02:59:38
408,Alice Springs,AU,-23.7,133.8833,92.75,17,1,8.05,clear sky,2022-04-14 02:55:57
409,Wonthaggi,AU,-38.6044,145.5913,70.83,53,100,9.66,overcast clouds,2022-04-14 02:59:39
410,Vardo,NO,70.3705,31.1107,29.89,82,82,6.51,broken clouds,2022-04-14 02:59:39
411,Andra,RU,62.5147,65.8878,34.02,100,100,8.23,overcast clouds,2022-04-14 02:59:40
412,Boysun,UZ,38.2061,67.1986,65.37,33,0,3.09,clear sky,2022-04-14 02:59:40
413,Vissenbjerg,DK,55.3848,10.1378,44.49,96,100,7.18,overcast clouds,2022-04-14 02:59:40
414,Yarmouth,US,41.7057,-70.2286,55.96,93,100,11.5,mist,2022-04-14 02:59:41
415,Xiaoweizhai,CN,26.1903,107.5125,67.14,73,80,4.34,broken clouds,2022-04-14 02:59:41
416,Prince Rupert,CA,54.3161,-130.3201,42.89,28,0,16.11,clear sky,2022-04-14 02:59:42
417,Bocas Del Toro,PA,9.3333,-82.25,80.31,78,46,5.57,scattered clouds,2022-04-14 02:58:19
418,Aripuana,BR,-9.1667,-60.6333,74.23,96,89,0.83,overcast clouds,2022-04-14 02:59:42
419,Sembe,CG,1.6481,14.5806,69.33,98,100,2.8,overcast clouds,2022-04-14 02:59:43
420,Soc Trang,VN,9.6033,105.98,89.94,55,91,6.49,overcast clouds,2022-04-14 02:59:43
421,Turukhansk,RU,65.8167,87.9833,32.31,100,100,6.78,snow,2022-04-14 02:59:44
422,Vao,NC,-22.6667,167.4833,76.5,70,15,6.82,few clouds,2022-04-14 02:59:44
423,Talnakh,RU,69.4865,88.3972,29.21,95,100,8.25,light snow,2022-04-14 02:59:44
424,Rajgarh,IN,28.6333,75.3833,89.58,17,0,5.66,clear sky,2022-04-14 02:59:45
425,Greenwood,US,34.1668,-82.1165,64.02,58,33,6.58,scattered clouds,2022-04-14 02:59:45
426,Coihaique,CL,-45.5752,-72.0662,48.81,76,0,2.3,clear sky,2022-04-14 02:56:17
427,Sioux Lookout,CA,50.1001,-91.917,28.47,93,100,8.05,overcast clouds,2022-04-14 02:58:49
428,Agadez,NE,19.75,10.25,80.69,9,70,11.7,broken clouds,2022-04-14 02:59:46
429,Vrangel,RU,42.7297,133.0839,42.96,63,99,6.2,overcast clouds,2022-04-14 02:59:46
430,Indianola,US,41.3581,-93.5574,38.91,52,12,8.14,few clouds,2022-04-14 02:59:47
431,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,71.47,87,100,5.19,light rain,2022-04-14 02:59:47
432,Gritsovskiy,RU,54.1376,38.1604,36.57,89,100,15.32,overcast clouds,2022-04-14 02:59:47
433,Illapel,CL,-31.6308,-71.1653,65.12,49,0,1.16,clear sky,2022-04-14 02:59:48
