City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
651,Galle,LK,83.39,broken clouds,6.0367,80.217,Amangalla
655,Alugan,PH,83.95,broken clouds,12.2188,125.4808,JM Lodge
658,Kavieng,PG,85.48,broken clouds,-2.5744,150.7967,Nusa Island Retreat
661,Alyangula,AU,89.31,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
667,Thiruvananthapuram,IN,76.98,mist,8.4833,76.9167,Hotel Residency Tower
668,Lagos,NG,77.09,broken clouds,6.5833,3.75,
671,Kyabe,TD,79.86,broken clouds,9.4515,18.9449,
672,Kanel,SN,83.39,clear sky,15.4916,-13.1763,
673,Thai Binh,VN,82.06,clear sky,20.45,106.3333,Sweden Hotel
696,Riyadh,SA,77.32,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
697,Kloulklubed,PW,81.1,light rain,7.0419,134.2556,Storyboard Beach Resort
698,Ranchi,IN,84.31,haze,23.35,85.3333,Radisson Blu Hotel Ranchi
707,Akyab,MM,84.34,broken clouds,20.15,92.9,Hotel Memory
710,Tura,IN,79.11,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
711,Kandrian,PG,86.77,light rain,-6.2167,149.55,Kandrian Station
714,Emerald,AU,84.34,broken clouds,-23.5333,148.1667,The Irish Village
717,Zaraza,VE,82.54,broken clouds,9.3503,-65.3245,Hotel Zaraza
726,Guarapari,BR,76.89,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
727,Gamba,GA,76.17,overcast clouds,-2.65,10.0,
729,West Bay,KY,80.67,few clouds,19.3667,-81.4167,Calypso Cove
731,Karachi,PK,79.57,clear sky,24.9056,67.0822,Sadaat
